Batch Num,Avg. Time,Mission Time,FM1,FM2
167,36:08.3,1.806503534,-150,32
168,36:08.3,1.816778898,-150,32
169,36:08.3,1.829150438,-150,32
170,36:08.4,1.8416996,-150,32
171,36:08.4,1.852198362,-150,32
172,36:08.4,1.863230944,-150,32
173,36:08.4,1.875173569,-150,32
174,36:08.4,1.887486458,-150,32
175,36:08.4,1.89769578,-150,32
176,36:08.4,1.909189939,-150,32
177,36:08.4,1.919440508,-150,32
178,36:08.4,1.931687593,-150,32
179,36:08.5,1.943866253,-150,32
180,36:08.5,1.956098557,-150,32
181,36:08.5,1.966449738,-150,32
182,36:08.5,1.978905916,-150,32
183,36:08.5,1.990891695,-150,32
184,36:08.5,2.003145218,-150,32
185,36:08.5,2.013768196,-150,32
186,36:08.5,2.025886774,-150,32
187,36:08.6,2.03824687,-150,32
188,36:08.6,2.048570871,-150,32
189,36:08.6,2.060632706,-150,32
190,36:08.6,2.072550297,-150,32
191,36:08.6,2.082867861,-150,32
192,36:08.6,2.094287395,-150,32
193,36:08.6,2.105811596,-150,32
194,36:08.6,2.115874767,-150,32
195,36:08.6,2.127766848,-150,32
196,36:08.7,2.138897657,-150,32
197,36:08.7,2.150911331,-150,32
198,36:08.7,2.161060333,-150,32
199,36:08.7,2.170282602,-150,32
200,36:08.7,2.180999279,-150,32
201,36:08.7,2.192621708,-150,32
202,36:08.7,2.202732563,-150,32
203,36:08.7,2.212503433,-150,32
204,36:08.7,2.22374773,-150,32
205,36:08.7,2.233784437,-150,32
206,36:08.8,2.244567871,-150,32
207,36:08.8,2.256956577,-150,32
208,36:08.8,2.267068148,-150,32
209,36:08.8,2.278784275,-150,32
210,36:08.8,2.289911985,-150,32
211,36:08.8,2.298989058,-150,32
212,36:08.8,2.311470747,-150,32
213,36:08.8,2.322342634,-150,32
214,36:08.8,2.331593037,-150,32
215,36:08.9,2.344106197,-150,32
216,36:08.9,2.354858637,-150,32
217,36:08.9,2.367478132,-150,32
218,36:08.9,2.37774992,-150,32
219,36:08.9,2.387884855,-150,32
220,36:08.9,2.399674892,-150,32
221,36:08.9,2.410398006,-150,32
222,36:08.9,2.422289133,-150,32
223,36:08.9,2.433238983,-150,32
224,36:09.0,2.445634365,-150,32
225,36:09.0,2.456782103,-150,32
226,36:09.0,2.467535734,-150,32
227,36:09.0,2.479960442,-150,32
228,36:09.0,2.491061211,-150,32
229,36:09.0,2.500699997,-150,32
230,36:09.0,2.511525393,-150,32
231,36:09.0,2.522648811,-150,32
232,36:09.0,2.531656981,-150,32
233,36:09.1,2.541654825,-150,32
234,36:09.1,2.550722122,-150,32
235,36:09.1,2.561207533,-150,32
236,36:09.1,2.571291208,-150,32
237,36:09.1,2.582832813,-150,32
